#,moniker_name,domain,reliability_mean,reliability_label,bias_mean,bias_label
1,Tangle,.readtangle.com,43.03508789473684,Reliable; Analysis/Fact Reporting,1.575758181818182,Middle
2,Ed Source,.edsource.org,44.64705999999999,Reliable; Analysis/Fact Reporting,-4.158332499999999,Middle
3,Anti-Defamation League,.adl.org,44.244444,Reliable; Analysis/Fact Reporting,-4.986109166666666,Middle
4,Human Events,.humanevents.com,20.662036250000007,Unreliable; Problematic,18.4965637628866,Hyper-Partisan Right
5,Columbia Journalism Review,.cjr.org,43.32608739130435,Reliable; Analysis/Fact Reporting,-6.261666,Skews Left
6,The Wichita Eagle,.kansas.com,44.73333333333333,Reliable; Analysis/Fact Reporting,-2.1111116666666665,Middle
7,Stockton Record,.recordnet.com,45.66666733333333,Reliable; Analysis/Fact Reporting,-0.6444446666666667,Middle
8,Providence Journal,.providencejournal.com,44.039215294117646,Reliable; Analysis/Fact Reporting,-2.716665999999999,Middle
9,Reno Gazette-Journal,.rgj.com,44.092593333333326,Reliable; Analysis/Fact Reporting,-4.0555554166666665,Middle
10,WIBC - Indy's Mobile News,.wibc.com,35.92857095238095,Generally Reliable/Analysis OR Other Issues,8.13440870967742,Skews Right
11,Alabama Political Reporter,.alreporter.com,43.17777866666666,Reliable; Analysis/Fact Reporting,-0.7777775,Middle
12,CNN (website),.cnn.com,42.12238162393158,Reliable; Analysis/Fact Reporting,-6.192797508928566,Skews Left
13,Daily Nebraskan,.dailynebraskan.com,42.41666624999999,Reliable; Analysis/Fact Reporting,-7.144927391304347,Skews Left
14,Fox News (website),.foxnews.com,35.37972048936169,Generally Reliable/Analysis OR Other Issues,11.064605695488723,Skews Right
15,Vox,.vox.com,39.66090929378532,Generally Reliable/Analysis OR Other Issues,-10.010457708095782,Skews Left
16,Politico,.politico.com,42.36569040485826,Reliable; Analysis/Fact Reporting,-5.333353790123451,Middle
17,The Dispatch,.thedispatch.com,41.18703680555556,Reliable; Analysis/Fact Reporting,5.33170707317073,Middle
18,Cape Cod Times,.capecodtimes.com,45,Reliable; Analysis/Fact Reporting,-0.687499375,Middle
19,WSLS 10 - Roanoke,.wsls.com,46.37500062499999,Reliable; Analysis/Fact Reporting,-0.2708325,Middle
20,The Fresno Bee,.fresnobee.com,46.03508736842105,Reliable; Analysis/Fact Reporting,-4.32,Middle
21,San Juan Daily Star,.sanjuandailystar.com,44.044444,Reliable; Analysis/Fact Reporting,-5.396825238095238,Middle
22,East Bay Times,.eastbaytimes.com,44.607842941176465,Reliable; Analysis/Fact Reporting,-3.07246347826087,Middle
23,Ottawa Citizen,.ottawacitizen.com,45.044444666666664,Reliable; Analysis/Fact Reporting,-3.4603171428571433,Middle
24,Jewish News Syndicate,.jns.org,32.573332888888885,Generally Reliable/Analysis OR Other Issues,9.306667285714287,Skews Right
25,New Civil Rights Movement,.thenewcivilrightsmovement.com,31.5208325,Mixed Reliability/Opinion OR Other Issues,-10.198197702702704,Skews Left
26,OutKick,.outkick.com,27.10062867924529,Mixed Reliability/Opinion OR Other Issues,13.93913104347826,Strong Right
27,Governing,.governing.com,44.583332222222225,Reliable; Analysis/Fact Reporting,-2.4444447619047622,Middle
28,Nieman Lab,.niemanlab.org,43.066666000000005,Reliable; Analysis/Fact Reporting,-2.5925933333333333,Middle
29,Poynter,.poynter.org,41.75416733333335,Reliable; Analysis/Fact Reporting,-7.320105873015873,Skews Left
30,The Daily Signal,.dailysignal.com,20.150738767123283,Unreliable; Problematic,17.103049716088325,Strong Right
31,Time Magazine,.time.com,41.093063271028036,Reliable; Analysis/Fact Reporting,-7.4442239408867,Skews Left
32,RT Russia Today,.rt.com,28.664848892617446,Mixed Reliability/Opinion OR Other Issues,11.456805716723553,Skews Right
33,FactCheck.org,.factcheck.org,46.20370333333334,Reliable; Analysis/Fact Reporting,-1.7619047619047619,Middle
34,The Guardian,.theguardian.com,40.37340626811597,Reliable; Analysis/Fact Reporting,-8.052488860153261,Skews Left
